Dataset,NetworkName,Encoding,1st Hidden Units,2nd Hidden Units,3rd Hidden Units,Window Size,Padding,Batch Size,LR,Epochs,ML_Dataset,True Positives,False Positives,True Negatives,False Negatives,Accuracy,Recall,Precision,Specificity,F1 score,AUROC,Test Run Time (s),Train time (s)
RefSeq,LSTMNet_RefSeq_One_hot_2_16_3_32_0,One_hot,21,16,32,3,0,512,0.001,10,Test,[23683  5242  7818  6566 15301  7671  8677  8924  9560],[48926  3597 18154  9757 38444  4417  1136  1766  5123],[124216 199952 182478 195722 163763 199957 200873 202943 196872],[27937 15971 16312 12717  7254 12717 14076 11129 13207],"[0.65802493 0.91293902 0.84665557 0.90000979 0.79668271 0.92376825
 0.93231952 0.9426282  0.91844707]","[0.45879504 0.24711262 0.32399503 0.34050718 0.67838617 0.37625074
 0.3813563  0.4450207  0.419906  ]","[0.32617169 0.59305351 0.30101648 0.40225449 0.28469625 0.63459629
 0.8842352  0.83479888 0.6510931 ]","[0.71742269 0.98232858 0.90951593 0.95251583 0.809878   0.97838766
 0.99437649 0.99137312 0.97463799]","[0.38127973 0.34886197 0.31208335 0.36881424 0.40107471 0.4724104
 0.53288706 0.58055492 0.5105474 ]",0.8447228317938568,9.139833927154541,626.4775381088257

RefSeq,CNNLSTMNet_RefSeq_One_hot_2_16_3_32_0,One_hot,21,16,32,3,0,512,0.001,10,Train,[208370  26735  36047  87049  57260  17283  22056  29363  61825],[135912  13491  20465  27930  18859   4440   4653   9117  15962],[399639 692479 688122 669089 682108 770536 765581 753128 703025],[52896 64112 52183 12749 38590  4558  4527  5209 16005],"[0.76304722 0.90260875 0.90882725 0.94894813 0.92790189 0.98870757
 0.98847916 0.98202097 0.95988163]","[0.79753967 0.294286   0.40855718 0.87225195 0.59739176 0.79130992
 0.82970319 0.84932894 0.7943595 ]","[0.6052306  0.6646199  0.63786452 0.75708608 0.7522432  0.79560834
 0.82578906 0.76307173 0.79479862]","[0.74622025 0.98089012 0.97111858 0.95992936 0.97309574 0.99427079
 0.99395898 0.98803928 0.97779932]","[0.68820308 0.40794061 0.49808625 0.8105989  0.66593398 0.79345331
 0.8277415  0.80389312 0.794579  ]",0.9507840186384274,42.05622673034668,480.3848383426666

RefSeq,CNNLSTMNet_RefSeq_One_hot_2_16_3_32_0,One_hot,21,16,32,3,0,512,0.001,10,Validation,[52107  5554  5424  6909  5693  1368  1434  5197 10325],[61294  5099  9765 12396  8068  1950  2577  2742  7077],[ 78153 178616 172274 177462 181607 189080 195686 178220 177766],[13425 15710 17516  8212  9611 12581  5282 18820  9811],"[0.63547973 0.89848228 0.86690832 0.89946287 0.91375214 0.92910981
 0.96165949 0.89480874 0.91761107]","[0.79513825 0.26119263 0.23644289 0.45691423 0.37199425 0.09807155
 0.21351995 0.21638839 0.51276321]","[0.4594933  0.52135549 0.35710053 0.35788656 0.4137054  0.41229656
 0.35751683 0.65461645 0.59332261]","[0.56044949 0.97224505 0.94635765 0.9347091  0.95746408 0.98979218
 0.98700211 0.98484765 0.96171345]","[0.58241912 0.3480277  0.28450785 0.40138268 0.39174265 0.15845254
 0.26736273 0.32525973 0.55010922]",0.8370793603910768,6.782240152359009,480.3848383426666

RefSeq,CNNLSTMNet_RefSeq_One_hot_2_16_3_32_0,One_hot,21,16,32,3,0,512,0.001,10,Test,[36142  6580  6554  8531 10479  8619  9926  9783 11851],[62325  4924 12244 12559 11240  3005  1320  1923  6757],[110817 198625 188388 192920 190967 201369 200689 202786 195238],[15478 14633 17576 10752 12076 11769 12827 10270 10916],"[0.65384273 0.91298796 0.86732633 0.89628585 0.8962636  0.93426825
 0.93705787 0.94575151 0.92137016]","[0.70015498 0.31018715 0.2716121  0.44241041 0.46459765 0.42274868
 0.43625016 0.48785718 0.52053411]","[0.36704683 0.57197497 0.34865411 0.4045045  0.48248078 0.74148314
 0.88262493 0.83572527 0.63687661]","[0.64003535 0.97580926 0.93897285 0.9388794  0.9444134  0.98529656
 0.99346564 0.99060618 0.96654868]","[0.481614   0.40223737 0.30534849 0.42260917 0.47337038 0.53848557
 0.58389953 0.61607733 0.57285801]",0.8622229449860463,7.4999213218688965,480.3848383426666

RefSeq,CNNNet_RefSeq_One_hot_2_16_3_32_0,One_hot,21,16,32,3,0,512,0.001,10,Train,[171875  51500  54206  72717  67370  17877  19528  23532  54679],[87439 46049 40421 21583 33397  7716  9870  4608 12450],[448112 659921 668166 675436 667570 767260 760364 757637 706537],[89391 39347 34024 27081 28480  3964  7055 11040 23151],"[0.77807953 0.89282859 0.90657202 0.93892701 0.92234478 0.98534168
 0.97875924 0.98036186 0.95532098]","[0.65785445 0.56688718 0.61437153 0.72864186 0.70286907 0.81850648
 0.73460482 0.68066644 0.70254401]","[0.66280648 0.5279398  0.57283862 0.77112407 0.66857205 0.69851131
 0.66426288 0.83624733 0.81453619]","[0.83673077 0.93477202 0.94295549 0.96903528 0.95235582 0.99004356
 0.98718571 0.9939547  0.98268397]","[0.66032118 0.54672074 0.59287859 0.74928129 0.68529171 0.75376312
 0.69766528 0.75047838 0.75440642]",0.9444692369389688,28.133076429367065,151.64623737335205

